"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"IRFC",375,130.69,88.75,49008.4,33281.25,-15727.15,-32.09,-0.6,""
"INOXWIND",420,114.41,78,48051.4,32760,-15291.4,-31.82,-0.26,""
"PGHH",4,11906.07,8497,47624.28,33988,-13636.28,-28.63,0.15,""
"NETWORK18",1200,40.85,29.56,49018.5,35472,-13546.5,-27.64,-1.17,""
"ROUTE",62,720.02,528.3,44641.4,32754.6,-11886.8,-26.63,-0.97,""
"NEWGEN",95,672.38,551,63875.65,52345,-11530.65,-18.05,1.59,""
"MHRIL",123,322.82,229.66,39706.57,28248.18,-11458.39,-28.86,-0.57,""
"EIHOTEL",142,381.92,306.55,54232.48,43530.1,-10702.38,-19.73,-5.87,""
"RSYSTEMS",167,306.4,247.85,51168.52,41390.95,-9777.57,-19.11,-3.16,""
"KPITTECH",59,794.72,629.9,46888.65,37164.1,-9724.55,-20.74,1.11,""
"HERITGFOOD",106,452.84,361.8,48001.54,38350.8,-9650.74,-20.11,0.91,""
"IRCON",200,178.54,131.25,35707.7,26250,-9457.7,-26.49,-0.65,""
"TRENT",17,3527.09,2997,59960.51,50949,-9011.51,-15.03,-3.54,""
"ASHOKA",200,161.03,118.33,32205.5,23666,-8539.5,-26.52,-1.25,""
"WHIRLPOOL",32,1067.16,813.15,34149.1,26020.8,-8128.3,-23.8,-2.08,""
"LEMONTREE",240,144.48,111.01,34674.4,26642.4,-8032,-23.16,-1.58,""
"BOROLTD",170,291.27,244.21,49516.6,41515.7,-8000.9,-16.16,-1.52,""
"JAINREC",85,399.93,308.4,33994.4,26214,-7780.4,-22.89,-2.2,""
"RAILTEL",95,368.51,288.55,35008.35,27412.25,-7596.1,-21.7,-0.79,""
"IEX",210,162.13,127.1,34048.3,26691,-7357.3,-21.61,-1.34,""
"TATAELXSI",9,4559.4,3781,41034.6,34029,-7005.6,-17.07,1.78,""
"BEML",14,2273.57,1787.8,31830,25029.2,-6800.8,-21.37,3.63,""
"ACC",17,1760.11,1362.8,29921.9,23167.6,-6754.3,-22.57,-1.13,""
"CDSL",24,1599.05,1328,38377.2,31872,-6505.2,-16.95,-0.23,""
"ITC",65,385.02,286.1,25026,18596.5,-6429.5,-25.69,0.07,""
"CYIENT",26,1095.92,857.5,28494,22295,-6199,-21.76,0.3,""
"MAZDOCK",11,3073.41,2514.9,33807.5,27663.9,-6143.6,-18.17,-0.6,""
"ROHLTD",60,424.89,323.2,25493.2,19392,-6101.2,-23.93,3.42,""
"JIOFIN",137,300.41,256.8,41156.3,35181.6,-5974.7,-14.52,-2.39,""
"BDL",25,1529.51,1294,38237.76,32350,-5887.76,-15.4,-0.38,""
"SBICARD",39,796.9,659,31078.95,25701,-5377.95,-17.3,-0.15,""
